text_en,text_ja
"'External Inputs', 'External Outputs' and 'Logical Transactions', and data stores such as 'Internal Logical Files'",「外部入力」、「外部出力」、「論理トランザクション」、および「内部論理ファイル」などのデータ ストア
Data is commonly used for both singular and plural.,データは通常、単数形と複数形の両方で使用されます。
(1) omissions and imperfections found during early life cycle phases and (2) faults contained in software sufficiently mature for test or operation,(1) ライフサイクルの初期段階で見つかった欠落と不完全性、および (2) テストまたは運用のために十分に成熟したソフトウェアに含まれる障害
"(documentation) activity during which user documentation is created according to the design, tested, and revised",(ドキュメント) ユーザードキュメントが設計に従って作成され、テストされ、改訂されるアクティビティ
(entity) meaningful or significant to the business in and of itself without the presence of other entities,(エンティティ) 他のエンティティの存在がなくても、それ自体でビジネスにとって意味のある、または重要な
"(entity) not meaningful or not significant to the business in and of itself without the presence of other entities, such that an occurrence of entity X must be linked to an occurrence of entity Y, and the deletion of an occurrence of entity Y results in the deletion of all related occurrences of entity X",(エンティティ) 他のエンティティが存在しない限り、それ自体ではビジネスにとって意味がないか、または重要ではありません。つまり、エンティティ X の出現はエンティティ Y の出現にリンクされている必要があり、エンティティ Y の出現を削除すると、エンティティ X の関連するすべての出現が削除されます。
"(human-centered) structure of an information space and the semantics for accessing required task objects, system objects and other information",情報空間の（人間中心の）構造と、必要なタスク オブジェクト、システム オブジェクト、その他の情報にアクセスするためのセマンティクス
(on-screen documentation) area that responds to user input,(画面上のドキュメント) ユーザー入力に応答する領域
(on-screen documentation) list of topics from which the user chooses,(画面上のドキュメント) ユーザーが選択するトピックのリスト
[embedded software] system integration module,【組込みソフトウェア】システム統合モジュール
[HALT] highly accelerated life testing,[HALT]高加速寿命試験
[information] having either the information or a reference to the information present in the document,[情報] 文書内に存在する情報または情報への参照のいずれかを含む
[ISO 9000:2005],[ISO 9000:2005]
"[ISO 9000:2005] There are both internal and external purposes for quality assurance: within an organization, quality assurance provides confidence to management; in contractual situations, quality assurance provides confidence to the customer or others. Some quality control and quality assurance actions are interrelated. Unless requirements for quality fully reflect the needs of the user, quality assurance does not necessarily provide adequate confidence.",[ISO 9000:2005] 品質保証には内部目的と外部目的の両方があります。組織内では、品質保証は経営陣に自信を与えます。契約上の状況では、品質保証は顧客や他の人に信頼を与えます。一部の品質管理および品質保証活動は相互に関連しています。品質に対する要件がユーザーのニーズを完全に反映していない限り、品質保証は必ずしも適切な信頼を提供するとは限りません。
[ISO/IEC 17024],[ISO/IEC 17024]
[ISO/IEC 27000:2009],[ISO/IEC 27000:2009]
"[ISO/IEC Directives, Part 2]",[ISO/IEC 指令、パート 2]
[ISO/IEC TR 10000-1],[ISO/IEC TR 10000-1]
[key style],【キースタイル】
[mobile telecommunications] subscriber identity module,[移動体通信] 加入者識別モジュール
"[Output/Input] the learning gained from the process of performing the project. Lessons learned may be identified at any point. Also considered a project record, to be included in the lessons learned knowledge base.",[アウトプット/インプット] プロジェクトを実行するプロセスから得られる学習。学んだ教訓はいつでも確認できます。また、プロジェクト記録ともみなされ、教訓知識ベースに組み込まれます。
"[process] to define the architecture, system elements, interfaces, and other characteristics of a system or system element",[プロセス] システムまたはシステム要素のアーキテクチャ、システム要素、インターフェイス、およびその他の特性を定義する
"[requirements] provide storing and editing capabilities, tracking history of edition, versioning, author identification, change management, time stamping, user notification for content changes, security rights control",[要件] 保存および編集機能、編集履歴の追跡、バージョン管理、作成者の識別、変更管理、タイムスタンプ、コンテンツ変更のユーザー通知、セキュリティ権限管理を提供します。
[software] entitlement schema,[ソフトウェア] 資格スキーマ
[software] product available for purchase and use without the need to conduct development activities,[ソフトウェア] 開発活動を行うことなく購入して使用できる製品
[system] context determining the setting and circumstances of all influences upon a system,[システム] システムに対するすべての影響の設定と状況を決定するコンテキスト
"[system] fundamental concepts or properties of a system in its environment embodied in its elements, relationships, and in the principles of its design and evolution",[システム] その環境におけるシステムの基本的な概念または特性。その要素、関係、およびその設計と進化の原則に具体化される。
[system] identifiable part,[システム] 識別可能な部分
"[system] individual, team, organization, or classes thereof, having an interest in a system",[システム] システムに関心を持つ個人、チーム、組織、またはそのクラス
[system] interest in a system relevant to one or more of its stakeholders,[システム] 1 人以上の利害関係者に関連するシステムへの関心
"<documentation> including all critical information and any necessary, relevant information for the intended audience",<ドキュメント> すべての重要な情報と対象読者にとって必要な関連情報を含む
16-byte string of characters that is generated in a manner that gives a high probability that the string is unique in any context,文字列がどのようなコンテキストでも一意である可能性が高い方法で生成される 16 バイトの文字列。
A 'plan' is the information item type for all plans and 'report' is the information item type for all reports.,「プラン」はすべてのプランの情報項目タイプであり、「レポート」はすべてのレポートの情報項目タイプです。
"a bar chart of schedule information where activities are listed on the vertical axis, dates are shown on the horizontal axis, and activity durations are shown as horizontal bars placed according to start and finish dates",スケジュール情報の棒グラフ。縦軸にアクティビティがリストされ、横軸に日付が表示され、アクティビティの期間が開始日と終了日に従って配置された水平棒として表示されます。
a bar chart showing the amount of time that a resource is scheduled to work over a series of time periods. Resource availability may be depicted as a line for comparison purposes. Contrasting bars may show actual amounts of resource used as the project progresses,一連の期間にわたってリソースが作業するようにスケジュールされている時間を示す棒グラフ。リソースの可用性は、比較の目的で線として表示される場合があります。対照的なバーは、プロジェクトの進行に応じて実際に使用されるリソースの量を示す場合があります。
A base measure is functionally independent of other measures.,基本メジャーは機能的に他のメジャーから独立しています。
a best-case estimate of the time needed for a developer or team to complete a task or deliver a feature,開発者またはチームがタスクを完了するか、機能を提供するのに必要な時間の最良の場合の推定値
"A binary relationship has an arity of two. An n-ary relationship has an arity of n. (n>2) sometimes known as the ""degree"" of a relationship.",二項関係のアリティは 2 です。 n 項関係のアリティは n です。 (n>2) 関係の「程度」として知られることもあります。
A body can be an organization or part of an organization that performs the assessment.,団体は、評価を実行する組織または組織の一部です。
A box takes as its box name the function name of the function represented by the box.,ボックスは、そのボックスが表す関数の関数名をボックス名として受け取ります。
A box that represents a leaf node does not have a box detail reference.,リーフ ノードを表すボックスには、ボックス詳細参照がありません。
"A bundle can be referred to as a suite, if the products are closely related and typically integrated (such as an office suite containing a spreadsheet, word processor, presentation and other related items). Bundles can also refer to software titles that are less closely related such as a game, a virus scanner and a utility bundled together with a new computer, or to groups of entitlements, such as multiple entitlements for a backup software product.",製品が密接に関連しており、通常は統合されている場合、バンドルはスイートと呼ばれます (スプレッドシート、ワード プロセッサ、プレゼンテーション、その他の関連アイテムを含むオフィス スイートなど)。バンドルは、新しいコンピュータにバンドルされたゲーム、ウイルス スキャナ、ユーティリティなど、あまり関連性の低いソフトウェア タイトルや、バックアップ ソフトウェア製品の複数の資格など、資格のグループを指す場合もあります。
"A calculator performs some of the functions of a computer, but usually operates only with frequent human intervention.",電卓はコンピューターの機能の一部を実行しますが、通常は人間が頻繁に介入しないと動作しません。
a calendar that identifies the working days and shifts on which each specific resource is available,特定の各リソースが利用可能な稼働日とシフトを特定するカレンダー
a calendar that identifies working days and shifts that are available for scheduled activities,スケジュールされたアクティビティに利用できる稼働日とシフトを特定するカレンダー
A call arrow is attached to the bottom of a calling box.,呼び出しボックスの底部には呼び出し矢印が取り付けられています。
"A call might concern a request for service, information or advice; disruption or error reporting (incident); request for change; assignment (for instance an instruction to start an off-schedule production run); and complaint",電話は、サービス、情報、またはアドバイスの要求に関するものである場合があります。中断またはエラーの報告 (インシデント)。変更の要求。割り当て（たとえば、スケジュール外の生産実行を開始する指示）。そして苦情
A CASE tool can provide support in only selected functional areas or in a wide variety of functional areas.,CASE ツールは、選択された機能領域のみ、またはさまざまな機能領域のサポートを提供できます。
"a category of contract that involves payments to the seller for all legitimate actual costs incurred for completed work, plus an award fee representing seller profit",完了した作業に発生したすべての正当な実費と、売り手の利益を表す落札手数料の売り手への支払いを伴う契約のカテゴリー
"a category of projects that have common components significant in such projects, but are not needed or present in all projects. Application areas are usually defined in terms of either the product (i.e., by similar technologies or production methods) or the type of customer (i.e., internal versus external, government versus commercial) or industry sector (i.e., utilities, automotive, aerospace, information technologies, etc.) Application areas can overlap.",プロジェクト内で重要な共通コンポーネントを持つプロジェクトのカテゴリ。ただし、すべてのプロジェクトに必要または存在するわけではありません。アプリケーション分野は通常、製品 (つまり、類似のテクノロジーや生産方法による)、顧客の種類 (つまり、社内と社外、政府と商業) または業界部門 (つまり、公益事業、自動車、航空宇宙、情報技術など) のいずれかによって定義されます。アプリケーション分野は重複する場合があります。
"a category or rank used to distinguish items that have the same functional use (e.g., ""hammer""), but do not share the same requirements for quality (e.g., different hammers may need to withstand different amounts of force).",同じ機能的用途（例：「ハンマー」）を持つアイテムを区別するために使用されるカテゴリーまたはランク。ただし、品質要件は同じではない（例：異なるハンマーは異なる量の力に耐える必要がある場合がある）。
A CBSS can be a data processing system as seen by human users at their terminals or at equivalent machine user-interfaces. It includes hardware and all software (system software and application software) which is necessary for realizing data processing functions required by its users,CBSS は、人間のユーザーの端末または同等のマシンのユーザー インターフェイスで見られるデータ処理システムです。ユーザーが必要とするデータ処理機能を実現するために必要なハードウェアおよびすべてのソフトウェア（システムソフトウェアおよびアプリケーションソフトウェア）を含みます。
A certification body can be non-governmental or governmental (with or without regulatory authority),認証機関は非政府機関でも政府機関でも構いません（規制当局の有無にかかわらず）
a change request that has been processed through the integrated change control process and approved,統合された変更管理プロセスを通じて処理され、承認された変更リクエスト
A change to a service includes the provision of a new service or the removal of a service which is no longer required.,サービスの変更には、新しいサービスの提供または不要になったサービスの削除が含まれます。
"a chart indicating features completed over time, plus features in development, and those features in the backlog",時間の経過とともに完成した機能、開発中の機能、およびバックログ内の機能を示すグラフ
A class inherits attributes and relationships from its superclass and can define additional attributes and relationships of its own.,クラスはそのスーパークラスから属性と関係を継承し、独自の追加の属性と関係を定義できます。
"A cluster exists when an instance of the superclass can be an instance of only one of the subclasses in the set, and each instance of a subclass is an instance of the superclass.",クラスターは、スーパークラスのインスタンスがセット内のサブクラスの 1 つだけのインスタンスになることができ、サブクラスの各インスタンスがスーパークラスのインスタンスである場合に存在します。
"a code indicating a carry, an overflow, or a parity error",キャリー、オーバーフロー、またはパリティ エラーを示すコード
a coherent collection of automated procedures and data supporting a business objective,ビジネス目標をサポートする自動化された手順とデータの一貫したコレクション
a collection of hardware and software components that are needed for a CASE tool to operate,CASE ツールの動作に必要なハードウェアおよびソフトウェア コンポーネントの集合
a collection of logically related project activities that culminates in the completion of one or more deliverables,1 つ以上の成果物の完成に至る、論理的に関連したプロジェクト活動の集合
"a common type of responsibility assignment matrix that uses responsible, accountable, consult, and inform statuses to define the involvement of stakeholders in project activities",プロジェクト活動への利害関係者の関与を定義するために責任者、説明責任者、相談者、通知ステータスを使用する一般的なタイプの責任割り当てマトリックス。
a comparison of a measured defect rate to planned defect rate along with an assessment of whether or not the difference indicates a problem,測定された不良率と計画された不良率の比較と、その差が問題を示しているかどうかの評価
A compensatory model suggests that improving the more important measures (those with a higher weighting) is more likely to increase or improve the overall composite value than improving the less important ones. This model assumes that the weight (influence level) of criteria remains the same regardless of the measured level of the criteria.,補償モデルは、より重要な測定値 (重み付けが高い測定値) を改善すると、重要性の低い測定値を改善するよりも全体の複合値が増加または改善される可能性が高いことを示唆しています。このモデルは、基準の重み (影響レベル) が、基準の測定レベルに関係なく同じままであると仮定します。
a complete specification of a sequence of arithmetic operations for evaluating sine x to a given precision,サイン x を指定された精度で評価するための一連の算術演算の完全な仕様
